 USUARIO: root | CANTIDAD: 18
 USUARIO: daemon | CANTIDAD: 0
 USUARIO: bin | CANTIDAD: 0
 USUARIO: sys | CANTIDAD: 0
 USUARIO: sync | CANTIDAD: 0
 USUARIO: games | CANTIDAD: 0
 USUARIO: man | CANTIDAD: 0
 USUARIO: lp | CANTIDAD: 0
 USUARIO: mail | CANTIDAD: 0
 USUARIO: news | CANTIDAD: 0
 USUARIO: uucp | CANTIDAD: 0
 USUARIO: proxy | CANTIDAD: 0
 USUARIO: www-data | CANTIDAD: 0
 USUARIO: backup | CANTIDAD: 0
 USUARIO: list | CANTIDAD: 0
 USUARIO: irc | CANTIDAD: 0
 USUARIO: gnats | CANTIDAD: 0
 USUARIO: nobody | CANTIDAD: 0
 USUARIO: systemd-network | CANTIDAD: 0
 USUARIO: systemd-resolve | CANTIDAD: 0
 USUARIO: systemd-timesync | CANTIDAD: 0
 USUARIO: messagebus | CANTIDAD: 0
 USUARIO: syslog | CANTIDAD: 0
 USUARIO: _apt | CANTIDAD: 0
 USUARIO: tss | CANTIDAD: 0
 USUARIO: uuidd | CANTIDAD: 0
 USUARIO: tcpdump | CANTIDAD: 0
 USUARIO: sshd | CANTIDAD: 0
 USUARIO: landscape | CANTIDAD: 0
 USUARIO: pollinate | CANTIDAD: 0
 USUARIO: fwupd-refresh | CANTIDAD: 0
 USUARIO: josco | CANTIDAD: 1
